GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households 
5350400.02,CT,0400.02,1.6728,5883,1914,1877
5350400.03,CT,0400.03,0.7922,2848,968,939
5350400.04,CT,0400.04,3.2583,1975,753,726
5350400.06,CT,0400.06,0.9443,3026,1049,1028
5350400.07,CT,0400.07,1.569,3425,1213,1177
5350400.08,CT,0400.08,1.756,3061,1490,1427
5350400.11,CT,0400.11,1.6731,5933,1642,1558
5350400.12,CT,0400.12,1.7079,6620,2233,2194
5350400.13,CT,0400.13,1.2779,6377,1710,1650
5350400.14,CT,0400.14,1.0543,5604,1595,1497
5350400.15,CT,0400.15,2.1349,4559,1604,1559
5350400.16,CT,0400.16,2.2278,5203,1481,1455
5350400.17,CT,0400.17,0.5975,4371,1275,1162
5350400.18,CT,0400.18,0.2959,2418,774,701
5350400.19,CT,0400.19,2.4613,11590,3728,3655
5350400.20,CT,0400.20,5.2075,5740,1605,1570
5350400.21,CT,0400.21,3.4062,3068,1054,1019
5350400.22,CT,0400.22,14.7069,10353,2695,2640
5350400.23,CT,0400.23,4.2072,10615,2954,2811
5350401.04,CT,0401.04,0.74,3065,997,964
5350401.05,CT,0401.05,8.1681,3245,1843,1719
5350401.06,CT,0401.06,1.7538,6048,2240,2119
5350401.07,CT,0401.07,1.7384,4147,1587,1478
5350401.08,CT,0401.08,1.4238,3238,1077,1052
5350401.09,CT,0401.09,2.1961,7885,2842,2730
5350401.10,CT,0401.10,4.0146,4508,1488,1448
5350401.11,CT,0401.11,1.1166,6354,1855,1791
5350401.13,CT,0401.13,0.9908,6839,2507,2377
5350401.14,CT,0401.14,2.3414,7408,2304,2257
5350401.15,CT,0401.15,1.1157,2755,1173,1140
5350401.17,CT,0401.17,1.1107,3339,998,969
5350401.18,CT,0401.18,6.1307,8632,4857,4480
5350401.19,CT,0401.19,1.6656,6305,2016,1939
5350401.20,CT,0401.20,0.6292,4107,1141,1103
5350401.21,CT,0401.21,0.4692,2707,793,747
5350401.22,CT,0401.22,2.2035,8355,2586,2519
5350401.23,CT,0401.23,1.7626,1896,568,546
5350402.01,CT,0402.01,1.9788,2433,860,844
5350402.02,CT,0402.02,1.6972,5837,2643,2441
